brand_name,product_name,asin,price,overall_rating,reviewer_username,review_date,review_rating,r-45-date-txt1,r-45-date-txt2,r-45-date-txt3,r-45-date-txt4,r-45-date-txt5,r-45-date-txt6,r-45-date-txt7,r-45-date-txt8,r-45-date-txt9,r-45-date-txt10,r-45-date-txt11,r-45-date-txt12,r-45-date-txt13,r-45-date-txt14,r-45-date-txt15,r-45-date-txt16,r-45-date-txt17,r-45-date-txt18,r-45-date-txt19,r-45-date-txt20,r-45-date-txt21,r-45-date-txt22,r-45-date-txt23,r-45-date-txt24,r-45-date-txt25,r-45-date-txt26,r-45-date-txt27,r-45-date-txt28,r-45-date-txt29,r-45-date-txt30,r-45-date-txt31,r-45-date-txt32,r-45-date-txt33,r-45-date-txt34,r-45-date-txt35,r-45-date-txt36,r-45-date-txt37,r-45-date-txt38,r-45-date-txt39,r-45-date-txt40,r-45-date-txt41,r-45-date-txt42,r-45-date-txt43,r-45-date-txt44,r-45-date-txt45,r-45-date-txt46,r-45-date-txt47,r-45-date-txt48,r-45-date-txt49,r-45-date-txt50,r-45-date-txt51,r-45-date-txt52,r-45-date-txt53,r-45-date-txt54,r-45-date-txt55,r-45-date-txt56,r-45-date-txt57,r-45-date-txt58,r-45-date-txt59,r-45-date-txt60,r-45-date-txt61,r-45-date-txt62,r-45-date-txt63,r-45-date-txt64,r-45-date-txt65,r-45-date-txt66,r-45-date-txt67,r-45-date-txt68,r-45-date-txt69,r-45-date-txt70,r-45-date-txt71,r-45-date-txt72,r-45-date-txt73,r-45-date-txt74,r-45-date-txt75,r-45-date-txt76,r-45-date-txt77,r-45-date-txt78,r-45-date-txt79,r-45-date-txt80,r-45-date-txt81,r-45-date-txt82,r-45-date-txt83,r-45-date-txt84,r-45-date-txt85,r-45-date-txt86,r-45-date-txt87,r-45-date-txt88,r-45-date-txt89,r-45-date-txt90,r-45-date-txt91,r-45-date-txt92,r-45-date-txt93,r-45-date-txt94,r-45-date-txt95,r-45-date-txt96,r-45-date-txt97,r-45-date-txt98,r-45-date-txt99,r-45-date-txt100,r-45-date-txt101,r-45-date-txt102,r-45-date-txt103,r-45-date-txt104,r-45-date-txt105,r-45-date-txt106,r-45-date-txt107,r-45-date-txt108,r-45-date-txt109,r-45-date-txt110,r-45-date-txt111,r-45-date-txt112,r-45-date-txt113,r-45-date-txt114,r-45-date-txt115,r-45-date-txt116,r-45-date-txt117,r-45-date-txt118,r-45-date-txt119,r-45-date-txt120,r-45-date-txt121,r-45-date-txt122,r-45-date-txt123,r-45-date-txt124,r-45-date-txt125,r-45-date-txt126,r-45-date-txt127,r-45-date-txt128,r-45-date-txt129,r-45-date-txt130,r-45-date-txt131,r-45-date-txt132,r-45-date-txt133,r-45-date-txt134,r-45-date-txt135,r-45-date-txt136,r-45-date-txt137,r-45-date-txt138,r-45-date-txt139,r-45-date-txt140,r-45-date-txt141,r-45-date-txt142,r-45-date-txt143,r-45-date-txt144,r-45-date-txt145,r-45-date-txt146,r-45-date-txt147,r-45-date-txt148,r-45-date-txt149,r-45-date-txt150,r-45-date-txt151,r-45-date-txt152,r-45-date-txt153,r-45-date-txt154,r-45-date-txt155,r-45-date-txt156,r-45-date-txt157,r-45-date-txt158,r-45-date-txt159,r-45-date-txt160,r-45-date-txt161,r-45-date-txt162,r-45-date-txt163,r-45-date-txt164,r-45-date-txt165,r-45-date-txt166,r-45-date-txt167,r-45-date-txt168,r-45-date-txt169,r-45-date-txt170,r-45-date-txt171,r-45-date-txt172,r-45-date-txt173,r-45-date-txt174,r-45-date-txt175,r-45-date-txt176,r-45-date-txt177,r-45-date-txt178,r-45-date-txt179,r-45-date-txt180,r-45-date-txt181,r-45-date-txt182,r-45-date-txt183,r-45-date-txt184,r-45-date-txt185,r-45-date-txt186,r-45-date-txt187,r-45-date-txt188,r-45-date-txt189,r-45-date-txt190,r-45-date-txt191,r-45-date-txt192,r-45-date-txt193,r-45-date-txt194,r-45-date-txt195,r-45-date-txt196,r-45-date-txt197,r-45-date-txt198,r-45-date-txt199,r-45-date-txt200,r-45-date-txt201,r-45-date-txt202,r-45-date-txt203,r-45-date-txt204,r-45-date-txt205,r-45-date-txt206,r-45-date-txt207,r-45-date-txt208,r-45-date-txt209,r-45-date-txt210,r-45-date-txt211,r-45-date-txt212,r-45-date-txt213,r-45-date-txt214,r-45-date-txt215,r-45-date-txt216,r-45-date-txt217,r-45-date-txt218,r-45-date-txt219,r-45-date-txt220,r-45-date-txt221,r-45-date-txt222,r-45-date-txt223,r-45-date-txt224,r-45-date-txt225,r-45-date-txt226,r-45-date-txt227,r-45-date-txt228,r-45-date-txt229,r-45-date-txt230,r-45-date-txt231,r-45-date-txt232,r-45-date-txt233,r-45-date-txt234,r-45-date-txt235,r-45-date-txt236,r-45-date-txt237,r-45-date-txt238,r-45-date-txt239,r-45-date-txt240,r-45-date-txt241,r-45-date-txt242,r-45-date-txt243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,Irish Rogue,6/5/2021,5,Great,taste,better,th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,Walter White,5/27/2021,5,For,recipes,like,dirty,rice,spaghetti,or,sloppy,Joe's,I,use,Beyond,For,actual,burgers,I,like,Impossible,better,This,makes,a,better,crumble,But,it's,so,gross,to,cook,It,goes,from,brown,to,blood,red,All,that,heme,protein,is,kind,of,creepy,But,the,taste,is,nice,The,texture,is,OK,But,really,take,my,advice,and,cook,this,IN,stuff,as,opposed,to,using,it,for,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,Bye Felicia,5/20/2021,5,We,liked,and,enjoyed,the,beyond,ground,beef,substitute,a,lot,!,Healthy,and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,Ms. B.,5/19/2021,5,Fabulous,tast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,Sponce,5/9/2021,4,Not,as,flavorful,as,the,Beyond,Burgers,but,good,If,seasoned,Ala,BBQ,sauce,or,taco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,Suelenn Mendes Pereira Roza,3/31/2021,4,Good,substitute,if,looking,for,so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,BTC,3/23/2021,5,Well,I,cannot,write,enough,about,this,product,It,tastes,like,meat,cooks,like,meat,and,actually,it,tastes,better,than,meat,I,love,cooking,with,it,and,have,a,ritual,beyond,burger,night,and,the,best,thing,is,it,does,not,have,soy,which,seems,to,be,in,everything,these,days,So,definitely,I,do,recommend,you,at,least,try,it,because,it,is,the,best,non-meat,out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,L Duffy,3/22/2021,5,This,is,del,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,Chris Sheehy,3/22/2021,5,My,husband,was,diagnosed,with,Prostate,cancer,and,after,doing,research,he,decided,to,become,Vegan,This,is,a,great,substitute,for,beef,He,loves,it,and,uses,it,in,everything,where,he,used,to,use,ground,beef,I,don't,like,the,smell,of,it,when,I,open,the,package,(smells,like,cat,food,to,me),but,it,tastes,great,and,is,super,easy,to,cook,I,literally,pull,it,from,the,package,squeeze,it,into,four,balls,pat,them,flat,and,fry,them,for,very,easy,burgers,(I,mean,I,don't,add,anything,at,all,-,not,an,egg,or,anything),I,sometimes,sprinkle,my,burger,with,Worchester,sauce,for,flavor,but,it's,not,necessary,Taste,exactly,like,a,normal,burger,I've,even,made,shepherds,pie,with,this,in,place,of,lamb,or,beef,and,it,taste,great,Warning,these,cook,on,lower,heat,and,for,much,shorter,times,than,actual,ground,beef,It,can,burn,easily,so,wat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,L. Horst,3/8/2021,5,I,like,that,I,can,make,my,own,burgers,than,the,premade,ones,I,can,add,spices,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
