brand_name,product_name,asin,price,overall_rating,reviewer_username,review_date,review_rating,review_text
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,enthuz,"June 9, 2021",1.0,Toxic chemical plant
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,Irish Rogue,"June 5, 2021",5.0,Great taste better th
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,Walter White,"May 27, 2021",5.0,"For recipes like dirty rice, spaghetti, or sloppy Joe's I use Beyond. For actual burgers, I like Impossible better. This makes a better crumble. But it's so gross to cook. It goes from brown to blood red. All that heme protein is kind of creepy. But the taste is nice. The texture is OK. But really take my advice and cook this IN stuff as opposed to using it for b"
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,Nyc DogWalker,"May 22, 2021",1.0,"This is the second time in a number of months that I've ordered this product, advertised as frozen, but it's come just chilled and soft.  The plan had been to put it directly into the freezer for next weekend; however, you cannot -re-freeze it (says so right on the package), so I am stuck with veggie burger material for grandkids a week before they come for burgers.  Amazon did promptly refund, but that doesn't solve my p"
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,Bye Felicia,"May 20, 2021",5.0,We liked and enjoyed the beyond ground beef substitute a lot ! Healthy and
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,Ms. B.,"May 19, 2021",5.0,Fabulous tast
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,Artist and Designer,"May 11, 2021",1.0,I like the impossible meat and thought this would be comparable. While cooking it my husband asked me what the smell was. Once we ate we confirmed it tasted as bed as it s
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,leighfabozzi,"May 10, 2021",1.0,"I have tried their burgers and ground ""meat"". They both have this distinct flavor( it is not a pleasant one), they kinda taste the way they smell. Also they were very oily. I did not like they at all ( i am a meat eater).  My mom jas been pescatarian for 20+yrs and she loves their products ( agrees with the oiliness).  So it up"
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,Sponce,"May 9, 2021",4.0,Not as flavorful as the Beyond Burgers but good If seasoned Ala BBQ sauce or taco
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,Sonte T,"May 2, 2021",1.0,Only for fanatics who crave tasteless off fake meats. Don’t believe the hype. Just awful. Maybe better in the
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,kmix,"May 2, 2021",3.0,"It was good-ish. Didn't meet my expectations. I thought it would taste more like the burger king beyond whopper... It didn't. I can see where if a vegan or vegetarian wanted a big burger, this would definitely hit th"
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,annegrete,"April 25, 2021",2.0,"I came here because I smelled catfood every time I used it and I am SO glad that I'm not the only one. The texture and flavor is not like real meat. I was thinking it might be like the impossible burger, which I actually do think is a pleasurable meat substitute.I made a burger, some tacos, and meatballs. each time I used it, I found myself being more and more liberal with the seasoning, as the flavor of the product by itself was not as good as I was hoping. It seems like this will work fine in dishes where the ""meat"" isn't the main star.I don't think it's terrible, but I won't be buying it again. Hoping for a great substitute for meat one day, and it seems like we are working in the right direction, but it's not the"
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,Suelenn Mendes Pereira Roza,"March 31, 2021",4.0,Good substitute if looking for so
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,Ahn Medek,"March 30, 2021",1.0,"What. The. Ew.That funky smell, that funky taste. It permeates everything. It’s so gross.I usually make my meatballs with half ground beef, half sweet Italian chicken sausage. This time I substituted just the beef for beyond beef. So you would think that with the other half of the recipe unchanged, the effect would be mitigated.NOPE. Never"
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,BTC,"March 23, 2021",5.0,"Well I cannot write enough about this product. It tastes like meat, cooks like meat and actually it tastes better than meat. I love cooking with it and have a ritual beyond burger night and the best thing is it does not have soy, which seems to be in everything these days. So definitely I do recommend you at least try it because it is the best non-meat out"
